user_id,user_segment,age_group,gender,location,membership_tier,clv_category,account_age_days,preferred_device,product_id,product_name,category,brand,listed_price_inr,interaction_type,interaction_date,interaction_hour,day_of_week,is_weekend,referral_source,session_duration_sec,pages_visited,images_viewed,video_played,compare_flag,browsing_count,scroll_depth_pct,purchase,discount_pct,final_price_inr,payment_method,returned,review_given,rating,satisfaction_score,recommended_flag,rec_algorithm
U01714,tech_enthusiast,45-54,F,Lucknow,Silver,Medium,190,Desktop,P115,True Wireless Earbuds,Electronics,boAt,4999,purchase,2024-01-26,22,Friday,0,Social Media,190,18,5,0,1,7,59,1,0,4999.0,COD,1,1,4,7.0,0,
U02258,home_maker,45-54,M,Surat,Bronze,Low,1796,Mobile,P302,Air Fryer 4L,Kitchen Appliances,Philips,4999,view,2024-04-19,8,Friday,0,Push Notification,253,16,3,0,0,20,22,0,0,,,0,1,5,,1,Hybrid
U04693,home_maker,45-54,M,Surat,Silver,Medium,624,Tablet,P504,Dumbbell Set 20kg,Fitness,Kore,4999,add_to_cart,2023-08-09,10,Wednesday,0,Referral,601,25,0,1,0,23,26,0,0,,,0,1,5,,0,
U04346,tech_enthusiast,35-44,M,Hyderabad,Silver,Medium,62,Tablet,P306,Rice Cooker 1.8L,Kitchen Appliances,Panasonic,2199,view,2024-11-11,15,Monday,0,Paid Ad,547,8,9,1,0,5,31,0,0,,,0,1,3,,1,Content-Based
U04528,smart_home_lover,55+,F,Pune,Silver,Medium,538,Mobile,P401,Smart Doorbell,Smart Home,Ring,7999,add_to_cart,2022-10-24,19,Monday,0,Referral,771,27,9,0,0,9,51,0,0,,,0,1,4,,1,Content-Based
U00973,all_rounder,25-34,F,Bhopal,Silver,Medium,59,Smart TV App,P208,Robot Vacuum,Home Appliances,iRobot,24999,view,2022-07-11,9,Monday,0,Social Media,767,29,8,0,0,11,49,0,0,,,0,1,4,,1,Content-Based
U03030,budget_shopper,25-34,M,Delhi,Bronze,Low,359,Smart TV App,P403,Security Camera 1080p,Smart Home,TP-Link,3499,view,2022-01-16,21,Sunday,1,Push Notification,23,27,3,0,0,22,94,0,0,,,0,1,4,,1,Content-Based
U04454,kitchen_chef,45-54,F,Visakhapatnam,Silver,Medium,1250,Tablet,P309,Pressure Cooker 5L,Kitchen Appliances,Hawkins,2499,view,2024-11-27,15,Wednesday,0,Organic Search,492,21,7,0,0,7,55,0,0,,,0,0,5,,1,New Arrival
U04325,premium_shopper,55+,F,Bhopal,Gold,High,1106,Desktop,P203,Refrigerator 260L,Home Appliances,Whirlpool,26999,view,2024-03-11,17,Monday,0,Direct,889,20,5,0,1,7,62,0,0,,,0,0,4,,0,
U01400,fitness_freak,55+,M,Indore,Platinum,Very High,332,Smart TV App,P604,Facial Steamer,Personal Care,Nova,1599,add_to_cart,2023-09-20,9,Wednesday,0,Referral,866,16,0,0,0,25,95,0,0,,,0,0,4,,1,Hybrid
U04909,fitness_freak,45-54,M,Delhi,Gold,High,1578,Desktop,P305,Toaster Oven,Kitchen Appliances,Bajaj,3499,view,2024-04-21,22,Sunday,1,Direct,792,11,3,1,1,17,47,0,0,,,0,1,4,,0,
U04504,home_maker,55+,F,Surat,Bronze,Low,350,Mobile,P303,Electric Kettle,Kitchen Appliances,Bajaj,1299,add_to_cart,2024-04-12,18,Friday,0,Social Media,92,2,4,1,0,8,89,0,0,,,0,0,5,,1,New Arrival
U04003,tech_enthusiast,35-44,F,Ahmedabad,Bronze,Low,1418,Mobile,P205,Microwave 20L,Home Appliances,IFB,7999,view,2022-09-23,9,Friday,0,Push Notification,377,20,8,1,1,12,84,0,0,,,0,1,4,,1,New Arrival
U03077,home_maker,55+,M,Lucknow,Gold,High,732,Smart TV App,P206,Microwave 28L,Home Appliances,LG,11999,purchase,2022-11-07,9,Monday,0,Push Notification,360,19,6,0,0,6,77,1,5,11399.05,Debit Card,0,1,4,8.0,0,
U00940,tech_enthusiast,45-54,F,Hyderabad,Silver,Medium,391,Mobile,P101,"Smart TV 55""",Electronics,Samsung,45999,add_to_cart,2024-03-03,20,Sunday,1,Push Notification,855,11,2,0,0,19,53,0,0,,,0,1,5,,0,
U00925,tech_enthusiast,18-24,F,Surat,Silver,Medium,479,Tablet,P111,"Laptop 13.3""",Electronics,Apple,74999,add_to_cart,2022-03-03,15,Thursday,0,Organic Search,873,25,3,1,0,12,37,0,0,,,0,1,5,,0,
U00659,fitness_freak,55+,M,Chennai,Gold,High,1681,Desktop,P306,Rice Cooker 1.8L,Kitchen Appliances,Panasonic,2199,view,2022-10-21,18,Friday,0,Organic Search,243,27,5,1,1,2,69,0,0,,,0,0,4,,1,New Arrival
U00835,smart_home_lover,45-54,F,Jaipur,Silver,Medium,357,Smart TV App,P120,Wireless Charger,Electronics,Anker,1999,view,2024-07-05,20,Friday,0,Paid Ad,835,15,3,0,1,19,71,0,0,,,0,1,4,,1,Content-Based
U02868,fitness_freak,55+,F,Bhopal,Bronze,Low,1814,Desktop,P603,Electric Toothbrush,Personal Care,Oral-B,4499,purchase,2022-03-28,13,Monday,0,Referral,208,21,6,0,1,22,36,1,5,4274.05,COD,0,1,5,8.0,1,Content-Based
U03472,home_maker,55+,F,Pune,Bronze,Low,1202,Tablet,P504,Dumbbell Set 20kg,Fitness,Kore,4999,view,2024-01-08,0,Monday,0,Email Campaign,882,2,10,0,0,25,67,0,0,,,0,1,3,,1,New Arrival
U04583,home_maker,18-24,F,Jaipur,Silver,Medium,119,Tablet,P212,Iron,Home Appliances,Philips,1799,wishlist,2022-04-29,18,Friday,0,Referral,738,11,10,0,0,11,100,0,0,,,0,0,4,,0,
U01510,budget_shopper,25-34,M,Chennai,Platinum,Very High,65,Tablet,P310,Slow Cooker,Kitchen Appliances,Crock-Pot,3799,purchase,2023-06-22,1,Thursday,0,Paid Ad,545,15,7,1,0,14,84,1,25,2849.25,Credit Card,1,1,4,5.0,0,
U02490,fitness_freak,55+,M,Bangalore,Silver,Medium,1183,Mobile,P503,Yoga Mat,Fitness,Boldfit,899,view,2023-04-12,22,Wednesday,0,Paid Ad,316,8,1,0,0,17,99,0,0,,,0,0,4,,1,New Arrival
U03957,all_rounder,18-24,M,Delhi,Bronze,Low,1809,Tablet,P210,Air Purifier,Home Appliances,Philips,14999,view,2024-12-13,17,Friday,0,Push Notification,540,9,6,0,1,20,14,0,0,,,0,1,4,,0,
U04586,premium_shopper,25-34,F,Ahmedabad,Silver,Medium,631,Tablet,P206,Microwave 28L,Home Appliances,LG,11999,view,2023-05-16,7,Tuesday,0,Push Notification,682,20,4,0,0,8,27,0,0,,,0,0,5,,1,Content-Based
U03149,home_maker,55+,F,Jaipur,Bronze,Low,809,Tablet,P204,Refrigerator 500L,Home Appliances,Samsung,54999,view,2022-01-17,18,Monday,0,Organic Search,267,21,7,0,1,24,50,0,0,,,0,1,4,,0,
U02037,fitness_freak,35-44,Other,Delhi,Bronze,Low,1490,Smart TV App,P502,Exercise Bike,Fitness,Cockatoo,18999,wishlist,2022-01-15,17,Saturday,1,Organic Search,236,15,2,0,0,1,44,0,0,,,0,1,4,,0,
U00167,tech_enthusiast,55+,M,Ahmedabad,Bronze,Low,1551,Smart TV App,P120,Wireless Charger,Electronics,Anker,1999,purchase,2022-05-12,15,Thursday,0,Organic Search,779,29,1,1,1,3,39,1,30,1399.3,Wallet,1,1,4,4.0,1,Trending
U02400,tech_enthusiast,25-34,F,Bhopal,Platinum,Very High,520,Mobile,P110,"Laptop 15.6""",Electronics,HP,58999,view,2023-12-28,17,Thursday,0,Email Campaign,467,10,3,1,1,19,65,0,0,,,0,0,4,,1,Trending
U00853,premium_shopper,45-54,M,Pune,Bronze,Low,1680,Desktop,P120,Wireless Charger,Electronics,Anker,1999,wishlist,2024-11-02,12,Saturday,1,Organic Search,527,28,6,0,0,4,25,0,0,,,0,1,4,,1,Content-Based
U01633,home_maker,25-34,M,Hyderabad,Gold,High,619,Mobile,P114,"Tablet 10""",Electronics,Samsung,32999,view,2023-07-06,15,Thursday,0,Push Notification,587,26,7,0,0,24,10,0,0,,,0,0,4,,1,New Arrival
U04758,fitness_freak,45-54,F,Mumbai,Silver,Medium,976,Mobile,P306,Rice Cooker 1.8L,Kitchen Appliances,Panasonic,2199,view,2023-07-03,11,Monday,0,Organic Search,211,14,3,0,1,4,38,0,0,,,0,0,4,,0,
U04720,home_maker,45-54,F,Visakhapatnam,Silver,Medium,752,Desktop,P206,Microwave 28L,Home Appliances,LG,11999,view,2022-08-04,9,Thursday,0,Direct,339,30,1,0,1,3,15,0,0,,,0,1,4,,1,Collaborative Filtering
U04471,home_maker,25-34,F,Visakhapatnam,Silver,Medium,220,Tablet,P305,Toaster Oven,Kitchen Appliances,Bajaj,3499,wishlist,2024-10-09,20,Wednesday,0,Email Campaign,244,15,5,0,0,13,81,0,0,,,0,0,4,,0,
U02687,all_rounder,18-24,F,Pune,Platinum,Very High,337,Tablet,P502,Exercise Bike,Fitness,Cockatoo,18999,purchase,2022-04-15,11,Friday,0,Organic Search,738,29,7,0,0,13,54,1,10,17099.1,Credit Card,0,0,4,4.0,0,
U01242,smart_home_lover,55+,F,Visakhapatnam,Gold,High,126,Tablet,P113,Smartphone Lite,Electronics,Realme,19999,view,2023-06-13,9,Tuesday,0,Organic Search,460,9,3,0,0,22,68,0,0,,,0,0,5,,0,
U04523,home_maker,18-24,F,Hyderabad,Bronze,Low,539,Mobile,P201,Washing Machine 7kg,Home Appliances,LG,28999,wishlist,2024-05-23,13,Thursday,0,Push Notification,492,11,6,0,0,1,42,0,0,,,0,1,4,,0,
U03514,fitness_freak,35-44,Other,Indore,Bronze,Low,1677,Desktop,P503,Yoga Mat,Fitness,Boldfit,899,view,2023-07-05,9,Wednesday,0,Email Campaign,137,10,6,0,1,21,17,0,0,,,0,0,5,,0,
U01576,kitchen_chef,45-54,F,Indore,Platinum,Very High,908,Desktop,P211,Ceiling Fan,Home Appliances,Havells,2499,purchase,2024-12-02,16,Monday,0,Organic Search,614,25,0,1,1,8,72,1,0,2499.0,Wallet,0,1,5,6.0,1,Content-Based
U00843,kitchen_chef,55+,M,Visakhapatnam,Bronze,Low,253,Smart TV App,P209,Dishwasher 12-Place,Home Appliances,Bosch,42999,add_to_cart,2023-11-27,22,Monday,0,Email Campaign,127,18,5,0,0,7,67,0,0,,,0,0,5,,1,Collaborative Filtering
U04010,home_maker,45-54,F,Nagpur,Bronze,Low,1745,Mobile,P404,Smart Thermostat,Smart Home,Nest,9999,view,2024-06-29,14,Saturday,1,Referral,755,4,7,0,1,8,87,0,0,,,0,1,5,,0,
U03752,tech_enthusiast,25-34,F,Kolkata,Gold,High,905,Tablet,P113,Smartphone Lite,Electronics,Realme,19999,purchase,2023-08-12,18,Saturday,1,Social Media,30,18,1,0,1,1,65,1,0,19999.0,Debit Card,0,1,5,2.0,0,
U01663,tech_enthusiast,18-24,M,Indore,Gold,High,972,Mobile,P101,"Smart TV 55""",Electronics,Samsung,45999,purchase,2023-06-05,18,Monday,0,Email Campaign,189,7,0,0,0,2,85,1,20,36799.2,EMI,1,0,4,7.0,1,New Arrival
U03961,smart_home_lover,25-34,M,Lucknow,Silver,Medium,221,Tablet,P402,Smart Lock,Smart Home,Yale,12999,add_to_cart,2022-11-03,10,Thursday,0,Direct,112,5,3,1,1,13,23,0,0,,,0,1,3,,0,
U02364,home_maker,45-54,F,Delhi,Platinum,Very High,1655,Desktop,P304,Coffee Maker,Kitchen Appliances,Morphy Richards,5499,view,2023-12-04,16,Monday,0,Referral,203,6,3,0,0,24,74,0,0,,,0,0,4,,0,
U02802,kitchen_chef,45-54,Other,Bhopal,Bronze,Low,703,Desktop,P203,Refrigerator 260L,Home Appliances,Whirlpool,26999,view,2022-01-08,11,Saturday,1,Email Campaign,177,27,3,0,1,12,84,0,0,,,0,1,4,,1,Trending
U02198,home_maker,55+,M,Mumbai,Bronze,Low,1807,Tablet,P113,Smartphone Lite,Electronics,Realme,19999,wishlist,2023-02-05,12,Sunday,1,Organic Search,197,26,4,0,0,15,84,0,0,,,0,1,3,,0,
U02245,smart_home_lover,45-54,F,Bhopal,Bronze,Low,1211,Tablet,P204,Refrigerator 500L,Home Appliances,Samsung,54999,view,2024-12-27,20,Friday,0,Referral,799,11,5,0,0,24,69,0,0,,,0,0,4,,0,
U04093,all_rounder,45-54,M,Bangalore,Silver,Medium,250,Smart TV App,P304,Coffee Maker,Kitchen Appliances,Morphy Richards,5499,view,2024-04-24,10,Wednesday,0,Referral,806,10,7,1,0,6,64,0,0,,,0,0,5,,1,Collaborative Filtering
U03116,premium_shopper,18-24,M,Ahmedabad,Platinum,Very High,1193,Mobile,P209,Dishwasher 12-Place,Home Appliances,Bosch,42999,view,2022-08-25,13,Thursday,0,Social Media,412,11,0,1,0,1,41,0,0,,,0,0,4,,1,Hybrid
